,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,300,299,299,299,300,298,300,299,298,297,299,299,298,300,300,297,299,299,298
1,300,,299,299,299,300,298,300,299,298,297,299,299,298,300,300,297,299,299,298
2,299,299,,298,298,299,299,299,298,297,298,298,298,297,299,299,296,298,298,299
3,299,299,298,,300,299,297,299,300,299,296,300,300,299,299,299,298,298,298,297
4,299,299,298,300,,299,297,299,300,299,296,300,300,299,299,299,298,298,298,297
5,300,300,299,299,299,,298,300,299,298,297,299,299,298,300,300,297,299,299,298
6,298,298,299,297,297,298,,298,297,296,299,297,297,296,298,298,295,297,297,300
7,300,300,299,299,299,300,298,,299,298,297,299,299,298,300,300,297,299,299,298
8,299,299,298,300,300,299,297,299,,299,296,300,300,299,299,299,298,298,298,297
9,298,298,297,299,299,298,296,298,299,,295,299,299,298,298,298,297,297,297,296
10,297,297,298,296,296,297,299,297,296,295,,296,296,295,297,297,294,296,296,299
11,299,299,298,300,300,299,297,299,300,299,296,,300,299,299,299,298,298,298,297
12,299,299,298,300,300,299,297,299,300,299,296,300,,299,299,299,298,298,298,297
13,298,298,297,299,299,298,296,298,299,298,295,299,299,,298,298,299,297,297,296
14,300,300,299,299,299,300,298,300,299,298,297,299,299,298,,300,297,299,299,298
15,300,300,299,299,299,300,298,300,299,298,297,299,299,298,300,,297,299,299,298
16,297,297,296,298,298,297,295,297,298,297,294,298,298,299,297,297,,296,296,295
17,299,299,298,298,298,299,297,299,298,297,296,298,298,297,299,299,296,,298,297
18,299,299,298,298,298,299,297,299,298,297,296,298,298,297,299,299,296,298,,297
19,298,298,299,297,297,298,300,298,297,296,299,297,297,296,298,298,295,297,297,
